year,loans_exposure,total_capital,ratio
2022-06-30,229344.0,336807.0,68.09
2021-06-30,220564.0,325233.0,67.82
2020-06-30,204231.0,315567.0,64.72
2019-06-30,194787.0,306964.0,63.46
2018-06-30,185589.0,301249.0,61.61
2017-06-30,179455.0,295203.0,60.79
2016-06-30,169655.0,288868.0,58.73
2015-06-30,157012.0,279026.0,56.27
2014-06-30,154021.0,260026.0,59.23
2013-06-30,143776.0,250264.0,57.45
2012-06-30,136325.0,232895.0,58.53
2011-06-30,132459.0,220413.0,60.1
2010-06-30,120103.0,217381.0,55.25
2009-06-30,105698.0,214076.0,49.37
2008-06-30,99050.0,215753.0,45.91
2007-06-30,97805.0,215685.0,45.35
2006-06-30,103004.0,214856.0,47.94
2005-06-30,104401.0,211655.0,49.33
2004-06-30,109610.0,215075.0,50.96
2003-06-30,116240.0,210191.0,55.3
2002-06-30,121589.0,207984.0,58.46
2001-06-30,118866.0,207021.0,57.42
2000-06-30,120104.0,205008.0,58.59
1999-06-30,117228.0,203922.0,57.49
1998-06-30,106576.0,201388.0,52.92
1997-06-30,105805.0,196878.0,53.74
1996-06-30,110246.0,194832.0,56.59
1995-06-30,123499.0,190360.0,64.88
1994-06-30,109291.0,183420.0,59.59
1993-06-30,104451.0,177026.0,59.0
1992-06-30,100810.0,163435.0,61.68
1991-06-30,90638.0,149857.0,60.48
1990-06-30,89052.43,135248.95,65.84
1989-06-30,77941.85,124660.97,62.52
1988-06-30,81791.37,99424.3,82.26
1987-06-30,75791.65,92206.26999999999,82.2
1986-06-30,61063.54,85434.69,71.47
1985-06-30,41382.08,64022.100000000006,64.64
1984-06-30,37840.39,60686.37,62.35
1983-06-30,33747.4,56212.369999999995,60.04
1982-06-30,29167.54,46815.810000000005,62.3
1981-06-30,25957.81,39756.53999999999,65.29
1980-06-30,26693.6,42851.68,62.29
1979-06-30,22833.35,39927.37,57.19
1978-06-30,19303.67,35290.79,54.7
1977-06-30,15695.36,32894.9,47.71
1976-06-30,13503.01,32776.63,41.2
1975-06-30,12164.09,31113.420000000002,39.1
1974-06-30,10443.95,30723.399999999998,33.99
1973-06-30,9615.52,30689.2,31.33
1972-06-30,7842.6,26898.989999999998,29.16
1971-06-30,6577.17,24163.170000000002,27.22
1970-06-30,5950.22,23450.69,25.37
1969-06-30,5582.06,23327.899999999998,23.93
1968-06-30,5179.23,23232.92,22.29
1967-06-30,4733.27,23140.22,20.45
1966-06-30,4205.38,22716.14,18.51
1965-06-30,3788.87,21958.37,17.25
1964-06-30,3431.73,21474.12,15.98
1963-06-30,3160.53,20984.74,15.06
1962-06-30,2932.66,20708.45,14.16
1961-06-30,2883.51,20286.760000000002,14.21
1960-06-30,2759.63,19472.75,14.17
