year,el_ratio,gearing_ratio
2022,21.88,68.09
2021,21.14,67.82
2020,22.33,64.72
2019,22.63,63.46
2018,23.16,61.61
2017,23.61,60.79
2016,24.37,58.73
2015,26.37,56.27
2014,26.78,59.23
2013,28.18,57.45
2012,29.28,58.53
2011,28.99,60.1
2010,32.41,55.25
2009,33.73,49.37
2008,37.8,45.91
2007,38.21,45.35
2006,35.55,47.94
2005,32.01,49.33
2004,33.61,50.96
2003,27.62,55.3
2002,24.64,58.46
2001,24.39,57.42
2000,23.16,58.59
1999,23.11,57.49
1998,24.62,52.92
1997,24.1,53.74
1996,22.85,56.59
1995,20.06,64.88
1994,22.03,59.59
1993,21.03,59
1992,21.08,61.68
1991,22.21,60.48
1990,21.23,65.84
1989,22.56,62.52
1988,19.19,82.26
1987,18.8,82.2
1986,21.07,71.47
1985,24.94,64.64
1984,25.49,62.35
1983,26.2,60.04
1982,26.59,62.3
1981,26.21,65.29
1980,25.81,62.29
